City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
天水,93,23,44,0.4,21,132,150,10
铁岭,71,51,72,0.6,45,35,70,11
铜川,123,68,193,0.85,42,128,153,15
通化,35,9,18,0.4,20,53,68,5
通辽,51,25,50,0.33,11,74,84,6
铜陵,72,52,89,0.93,48,66,108,13
铜仁地区,58,24,59,1.35,79,13,108,7
吐鲁番地区,155,55,258,0.65,17,86,95,5
瓦房店,0,0,0,0.0,0,0,0,0
潍坊,71,26,89,0.44,24,82,110,6
威海,63,13,73,0.43,47,47,78,3
渭南,126,84,199,0.53,45,100,150,9
文登,54,10,55,0.6,34,52,88,4
文山州,82,60,95,0.75,19,85,97,6
温州,72,48,91,1.23,75,30,92,10
乌海,59,13,40,0.7,40,64,109,20
武汉,76,50,100,1.18,103,33,124,9
芜湖,81,59,110,1.33,128,24,124,9
吴江,132,100,180,1.43,40,111,160,15
五家渠,42,10,27,0.7,11,82,83,7
乌兰察布,46,12,27,0.15,11,83,91,17
乌鲁木齐,37,7,18,0.59,19,68,72,4
武威,85,38,118,0.75,63,49,105,5
无锡,131,99,168,1.51,48,86,157,15
吴忠,66,32,79,0.77,66,46,102,11
梧州,81,55,109,2.53,62,10,71,18
厦门,64,45,53,0.75,47,59,110,4
西安,97,48,141,0.98,79,57,137,9
湘潭,63,39,58,1.03,44,70,114,14
湘西州,60,39,67,0.6,22,50,100,7
襄阳,94,49,123,0.83,18,129,151,13
咸宁,99,47,145,1.13,47,72,140,8
咸阳,99,58,146,0.94,46,99,143,10
孝感,86,54,100,1.15,27,94,141,9
锡林郭勒盟,38,8,18,0.25,33,46,74,12
兴安盟,49,28,48,0.33,16,71,86,4
邢台,112,51,171,0.68,73,67,127,25
西宁,107,49,162,1.1,41,82,106,20
新乡,115,56,177,0.93,73,75,133,19
信阳,110,62,168,0.95,28,100,159,10
新余,56,30,59,1.05,32,54,85,14
忻州,82,33,112,0.9,85,35,101,19
西双版纳州,154,117,183,1.85,62,40,110,5
宣城,91,54,130,0.93,75,77,124,9
许昌,106,76,160,1.17,33,98,146,12
徐州,113,84,131,0.63,31,90,128,7
雅安,106,37,63,0.6,38,129,165,11
延安,89,43,125,0.8,74,53,106,7
延边州,73,46,94,1.03,39,52,87,8
盐城,80,58,78,0.78,18,129,129,6
阳江,25,14,19,0.57,6,40,49,5
阳泉,97,52,142,0.82,31,111,117,21
扬州,77,56,100,0.68,29,81,106,11
烟台,68,24,83,0.42,51,42,74,14
宜宾,106,71,111,0.93,59,92,165,17
宜昌,91,44,110,0.88,56,70,148,10
宜春,64,42,76,1.1,37,53,106,11
伊春,36,15,30,0.33,23,40,70,4
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,36,16,29,0.57,17,73,70,7
银川,61,22,70,0.9,46,74,101,24
营口,60,35,68,1.08,52,30,79,23
鹰潭,85,62,114,0.64,38,67,122,16
义乌,103,60,153,1.3,121,14,108,13
宜兴,136,103,146,0.95,35,84,110,16
益阳,84,45,78,1.02,21,102,139,10
永州,66,43,79,0.94,51,49,95,14
岳阳,81,45,78,0.9,35,98,136,11
玉林,49,34,0,0.75,12,61,82,12
榆林,65,29,77,1.01,80,33,66,23
运城,130,59,208,0.94,13,165,166,18
云浮,49,27,48,0.67,26,45,80,7
玉树州,48,5,13,0.4,4,87,94,7
玉溪,68,41,74,1.2,23,100,120,14
枣庄,98,71,143,0.6,29,90,134,12
张家港,84,60,115,0.9,29,98,130,5
张家界,64,19,53,0.7,35,69,115,4
张家口,48,25,42,0.76,7,87,94,5
章丘,146,96,240,1.6,111,31,119,37
张掖,114,31,176,0.3,23,93,115,13
漳州,65,46,70,1.03,52,78,103,12
湛江,39,13,38,0.72,17,38,56,5
肇庆,45,21,44,0.68,18,57,88,9
昭通,74,10,40,0.45,31,93,127,11
招远,0,0,0,0.0,0,0,0,0
郑州,121,78,189,0.81,42,114,145,15
镇江,96,71,107,1.02,29,91,134,6
中山,34,16,28,0.6,7,36,66,6
中卫,67,26,82,0.47,38,72,111,9
周口,128,97,197,1.15,36,99,146,13
舟山,55,27,58,0.7,55,60,93,5
珠海,29,12,19,0.63,19,38,56,2
诸暨,0,0,0,0.0,0,0,0,0
驻马店,116,73,179,0.9,22,97,139,6
株洲,93,69,101,1.11,63,52,115,12
淄博,101,70,150,1.02,56,69,133,16
自贡,96,51,98,0.9,23,110,154,13
资阳,79,31,76,1.08,77,61,133,15
遵义,50,20,49,0.77,38,68,93,13
